"season_id","team_name","num_of_games","total_pts"
"21946","Boston Celtics","60","3605"
"21946","Chicago Stags","61","4697"
"21946","Cleveland Rebels","60","4251"
"21946","Detroit Falcons","60","3797"
"21946","New York Knicks","60","3883"
"21946","Philadelphia Warriors","60","4118"
"21946","Pittsburgh Ironmen","60","3674"
"21946","Providence Steamrollers","60","4350"
"21946","St. Louis Bombers","61","4064"
"21946","Toronto Huskies","60","3996"
"21946","Washington Capitols","60","4428"
"21947","Baltimore Bullets","49","3640"
"21947","Boston Celtics","48","3303"
"21947","Chicago Stags","50","3789"
"21947","New York Knicks","48","3578"
"21947","Philadelphia Warriors","48","3521"
"21947","Providence Steamrollers","48","3318"
"21947","St. Louis Bombers","48","3432"
"21947","Washington Capitols","49","3609"
"21948","Baltimore Bullets","60","5017"
"21948","Boston Celtics","60","4593"
"21948","Chicago Stags","60","5038"
"21948","Ft. Wayne Zollner Pistons","60","4457"
"21948","Indianapolis Jets","60","4482"
"21948","Minneapolis Lakers","60","5042"
"21948","New York Knicks","60","4752"
"21948","Philadelphia Warriors","60","5022"
"21948","Providence Steamrollers","60","4705"
"21948","Rochester Royals","60","5042"
"21948","St. Louis Bombers","60","4547"
"21948","Washington Capitols","60","4910"
"21949","Anderson Packers","64","5589"
"21949","Baltimore Bullets","68","4973"
"21949","Boston Celtics","68","5419"
"21949","Chicago Stags","69","5421"
"21949","Denver Nuggets","62","4818"
"21949","Ft. Wayne Zollner Pistons","69","5476"
"21949","Indianapolis Olympians","64","5495"
"21949","Minneapolis Lakers","69","5795"
"21949","New York Knicks","68","5488"
"21949","Philadelphia Warriors","68","4983"
"21949","Rochester Royals","69","5678"
"21949","Sheboygan Redskins","62","5108"
"21949","St. Louis Bombers","68","5010"
"21949","Syracuse Nationals","64","5431"
"21949","Tri-Cities Blackhawks","64","5313"
"21949","Washington Capitols","68","5201"
"21949","Waterloo Hawks","62","4921"
"21950","Baltimore Bullets","66","5414"
"21950","Boston Celtics","69","5881"
